question,sql
"The game the Bruins scored 26 ,what was the result?",SELECT Result FROM table WHERE Opponents = 26
What was the record for game 9?,SELECT Record FROM table WHERE Game = 9
Who were the opponents of the Wildcats in game 4?,SELECT Opponent FROM table WHERE Game = 4
Who were the the opponents of the Wildcats for game 8 of the season?,SELECT Opponent FROM table WHERE Game = 8
What was the record of the Wildcats after playing Florida?,SELECT Record FROM table WHERE Opponent = Florida
How many times did the Wildcats play a game 11 regardless of points scored?,SELECT COUNT Wildcats points FROM table WHERE Game = 11
Name the number of black knights points for 3 game,SELECT COUNT Black Knights points FROM table WHERE Game = 3
Name the opponents for game 5,SELECT Opponents FROM table WHERE Game = 5
Name the result for 19 black knights points,SELECT Result FROM table WHERE Black Knights points = 19
Name the opponent for black knights points 27,SELECT Opponent FROM table WHERE Black Knights points = 27
Name the date for game 8,SELECT Date FROM table WHERE Game = 8
Name the number of date for 1-0 record,SELECT COUNT Date FROM table WHERE Record = 1-0
Name the game for record 1-0,SELECT Game FROM table WHERE Record = 1-0
Name the most game,SELECT MAX Game FROM table
How many games have a record of 3-4-0?,SELECT MAX Game FROM table WHERE Record = 3-4-0
How many dates have boston college as the opponent?,SELECT COUNT Date FROM table WHERE Opponent = Boston College
How many games have Air Force as the opponent?,SELECT MAX Game FROM table WHERE Opponent = Air Force
How many records have black knights points as 17?,SELECT COUNT Record FROM table WHERE Black Knights points = 17
Which opponent has a record of 6-2?,SELECT Opponent FROM table WHERE Record = 6-2
How many results have a game of 5?,SELECT COUNT Result FROM table WHERE Game = 5
What is the run time for the episode with 7.9 million viewers?,SELECT Run time FROM table WHERE Viewers (in millions) = 7.9
What episode had a run time of 23:38?,SELECT Episode FROM table WHERE Run time = 23:38
How many million viewers watched the episode with a run time of 25:22?,SELECT Viewers (in millions) FROM table WHERE Run time = 25:22
Name the date for result loss for duke,SELECT Date FROM table WHERE Result = Loss AND Opponent = Duke
Name the opponents for record of 2-1,SELECT Opponents FROM table WHERE Record = 2-1
Name the record for black knights points 54,SELECT Record FROM table WHERE Black Knights points = 54
Name the opponents stanford,SELECT Opponents FROM table WHERE Opponent = Stanford
Name the result for ursinus college,SELECT Result FROM table WHERE Opponent = Ursinus College
Name the black knights points for loss result,SELECT MAX Black Knights points FROM table WHERE Result = Loss
Name the date for 6-2 record,SELECT Date FROM table WHERE Record = 6-2
Name the opponents for record being 2-0,SELECT MAX Opponents FROM table WHERE Record = 2-0
How man innings were there during the period with a career average of 41.43?,SELECT Innings FROM table WHERE Average = 41.43
During what period did Ricky Ponting play?,SELECT Period FROM table WHERE Player = Ricky Ponting
During what period was the career average 44.10?,SELECT Period FROM table WHERE Average = 44.10
What was the smallest numbered rank for Michael Bevan?,SELECT MIN Rank FROM table WHERE Player = Michael Bevan
What period was there a career average of 48.15?,SELECT Period FROM table WHERE Average = 48.15
"when the value (int $1000) is 409566, what is the commodity?",SELECT Commodity FROM table WHERE Value (Int $1000) = 409566
"When the value rank is 23, what is the value?",SELECT MIN Value (Int $1000) FROM table WHERE Value world rank = 23
"When the value world rank is 7, what is the rank?",SELECT Rank FROM table WHERE Value world rank = 7
"When the production (mt) is 650000, what is the total number of rank?",SELECT COUNT Rank FROM table WHERE Production (MT) = 650000
"When the production (mt) is 446424, what is the value world rank ?",SELECT Value world rank FROM table WHERE Production (MT) = 446424
"where value world rank is 12, what is the quantity world rank?",SELECT Quantity world rank FROM table WHERE Value world rank = 12
What is the rank of Tim Paine?,SELECT Rank FROM table WHERE Player = Tim Paine
What rank does Rodney Marsh have?,SELECT MAX Rank FROM table WHERE Player = Rodney Marsh
Name the 1st place for limoges csp,SELECT 1st Place FROM table WHERE 3rd Place = Limoges CSP
What is the rank for a strike rate of 91.67?,SELECT MAX Rank FROM table WHERE Strike rate = 91.67
What player has 477 runs?,SELECT Player FROM table WHERE Runs = 477
How many innings does rank 3 have?,SELECT MAX Innings FROM table WHERE Rank = 3
What was the goals for in the season that the pct % was 0.604?,SELECT MAX Goals For FROM table WHERE Pct % = 0.604
In what season was the pct % 0.552? ,SELECT Season FROM table WHERE Pct % = 0.552
What was the standing in the season that the pct% was 0.769? ,SELECT Standing FROM table WHERE Pct % = 0.769
What were the points in the 1958-59 season? ,SELECT Points FROM table WHERE Season = 1958-59
Who were Dürr's opponents in the final on year 1968?,SELECT Opponents in the final FROM table WHERE Year = 1968
What was the court surface on year 1971?,SELECT Surface FROM table WHERE Year = 1971
Name  the most top 10s for 2 best finish,SELECT MAX Top 10s FROM table WHERE Best finish = 2
Name the tournaments played for 2004,SELECT MIN Tournaments played FROM table WHERE Year = 2004
How many submission of the night occurred when the fighter was matt wiman?,SELECT MAX Submissions of the Night FROM table WHERE Fighter = Matt Wiman
How many knockout of the night occurred when joe lauzon fought. ,SELECT Knockouts of the Night FROM table WHERE Fighter = Joe Lauzon
What is the smallest number of episodes in a season?,SELECT MIN Episodes FROM table
When was Season Three premiered in region 2?,SELECT Region 2 FROM table WHERE DVD Name = Season Three
Where is every location with specialization of textile engineering?,SELECT Location FROM table WHERE Specialization = Textile engineering
What is every website with specialization of engineering and division of dhaka division?,SELECT Website FROM table WHERE Specialization = Engineering AND Division = Dhaka division
Where is every location where Nick is Bru?,SELECT Location FROM table WHERE Nick = BRU
What is every specialization with the website Jstu.edu.bd,SELECT Specialization FROM table WHERE Website = jstu.edu.bd
Name the languages for cyprus,SELECT Languages FROM table WHERE Member countries = Cyprus
Name the languages for estonia,SELECT Languages FROM table WHERE Member countries = Estonia
Name the most gdp per capita latvian,SELECT MAX GDP per capita (US$) FROM table WHERE Languages = Latvian
how many archive were when run time is 24:34,SELECT Archive FROM table WHERE Run time = 24:34
what is all the  broadcast date when viewers were 8.4 millions,SELECT COUNT Broadcast date FROM table WHERE Viewers (in millions) = 8.4
how many episode have 8.4 millions  viewer.,SELECT COUNT Episode FROM table WHERE Viewers (in millions) = 8.4
What was the title in season #8?,SELECT Title FROM table WHERE Season # = 8
Who was the director when the writer(s) was John W. Bloch?,SELECT Director FROM table WHERE Writer(s) = John W. Bloch
"What was the series# with the original airdate of october 23, 1967?","SELECT MAX Series # FROM table WHERE Original Airdate = October 23, 1967"
what is the title when the  writer(s) is jack turley?,SELECT Title FROM table WHERE Writer(s) = Jack Turley
"How  many of the  series # when the original airdate is september 25, 1967?","SELECT COUNT Series # FROM table WHERE Original Airdate = September 25, 1967"
Name the episode for run time of 22:50,SELECT Episode FROM table WHERE Run time = 22:50
Name the broadcast date of 6.9 million viewers,SELECT Broadcast date FROM table WHERE Viewers (in millions) = 6.9
Name the broadcast date of run time being 24:14,SELECT Broadcast date FROM table WHERE Run time = 24:14
Which archive has a run time of 23:48?,SELECT Archive FROM table WHERE Run time = 23:48
Which broadcast date has 6.8 million viewers?,SELECT Broadcast date FROM table WHERE Viewers (in millions) = 6.8
What Petrol engine has total power of ps (kw; bhp)@5400-6500?,SELECT Model FROM table WHERE max. power = PS (kW; bhp)@5400-6500
What is top speed of a petrol engine at ps (kw; bhp)@5250-6250?,SELECT top speed FROM table WHERE max. power = PS (kW; bhp)@5250-6250
What is the maximum speed for total power of ps (kw; bhp)?,SELECT top speed FROM table WHERE max. power = PS (kW; bhp)
What is the s7 4.0 tfsi quattro engine torque?,SELECT Torque FROM table WHERE Model = S7 4.0 TFSI quattro
Name the number in season for 4300062,SELECT MAX No. in season FROM table WHERE Production code = 4300062
Name the number of cancelled for turnham green,SELECT COUNT Cancelled FROM table WHERE Station = Turnham Green
Name the number of details for emlyn road,SELECT COUNT Details FROM table WHERE Station = Emlyn Road
What episode number in the series was directed by John Behring?,SELECT MAX No in Series FROM table WHERE Directed by = John Behring
How many original air dates were there for episodes with a production code of 4398016?,SELECT COUNT Original air date FROM table WHERE Production code = 4398016
"How many dates did the episode ""out of sight"" originally air on?","SELECT COUNT Original air date FROM table WHERE Title = ""Out of Sight"""
"Name the rank that premiered september 25, 2001","SELECT Rank FROM table WHERE Season premiere = September 25, 2001"
Name the rank for 14.80 viewers,SELECT Rank FROM table WHERE Viewers (in millions) = 14.80
Name the number of rank for season 6,SELECT COUNT Rank FROM table WHERE Season = 6
What date did the episode with a production code of 4301085 originally air?,SELECT Original air date FROM table WHERE Production code = 4301085
What date did episode 15 of the season originally air?,SELECT Original air date FROM table WHERE No. in season = 15
"How many items are listed under the column of U.S. viewers for episode ""Bite Me""?","SELECT COUNT U.S. viewers (millions) FROM table WHERE Title = ""Bite Me"""
Name the remarks for sawhouse,SELECT Remarks FROM table WHERE NATO reporting name = SAWHOUSE
Name the nato/ us dod code for sabbot,SELECT NATO/U.S DOD code FROM table WHERE NATO reporting name = SABBOT
When autodromo nazionale monza is the circuit what is the report?,SELECT Report FROM table WHERE Circuit = Autodromo Nazionale Monza
When michele pirro is the pole position what is the date?,SELECT Date FROM table WHERE Pole Position = Michele Pirro
When Netherlands is the country what is the report? ,SELECT Report FROM table WHERE Country = Netherlands
When circuit ricardo tormo is the circuit who is the winning team?,SELECT Winning Team FROM table WHERE Circuit = Circuit Ricardo Tormo
When circuit ricardo tormo is the circuit what is the round?,SELECT COUNT Round FROM table WHERE Circuit = Circuit Ricardo Tormo
How many opponents were there when the record was 6-0?,SELECT COUNT Opponent FROM table WHERE Record = 6-0
How many opponents were there when the record was 6-0?,SELECT Date FROM table WHERE Record = 6-0
What was the team record when the team played @ Utah?,SELECT Record FROM table WHERE Opponent = @ Utah
How many points did the Cowboys have when they had a 7-0 record?,SELECT Cowboys points FROM table WHERE Record = 7-0
Name the scoreboard for total being 23.5,SELECT Scoreboard FROM table WHERE Total = 23.5
Name the jason for public vote being 19.20%,SELECT Jason FROM table WHERE Public Vote % = 19.20%
"Name the nicky for  "" take a chance on me ""– abba","SELECT Nicky FROM table WHERE Song = "" Take a Chance on Me ""– ABBA"
Name the number of song for scoreboard being 3rd,SELECT COUNT Song FROM table WHERE Scoreboard = 3rd
state the opponent on halliwell jones stadium in super league xiv,SELECT Opponent FROM table WHERE Venue = Halliwell Jones Stadium AND Competition = Super League XIV
how many venues were played on in round 1,SELECT COUNT Venue FROM table WHERE Round = 1
state the round that had a game score 50-10,SELECT Round FROM table WHERE Score = 50-10
state the round that had a game attended attended by 9359 people,SELECT Round FROM table WHERE Attendance = 9359
how many rounds had the score 44-22,SELECT COUNT Round FROM table WHERE Score = 44-22
what's the score against crusaders,SELECT Score FROM table WHERE Opponent = Crusaders
How many Small catagories are there for the department that has a medium of 17101? ,SELECT COUNT Small (100ha) FROM table WHERE Medium (500ha) = 17101
What is the total for Chuquisaca?,SELECT Total FROM table WHERE Department = Chuquisaca
Which department has a small of 11370? ,SELECT Department FROM table WHERE Small (100ha) = 11370
How many total catagories are there for La Paz? ,SELECT COUNT Total FROM table WHERE Department = La Paz
What is the largest micro when the big is 1080? ,SELECT MAX Micro (10ha) FROM table WHERE Big (>500ha) = 1080
How many points under par was the winner of the Miyagi TV Cup Dunlop Ladies Open?,SELECT To par FROM table WHERE Tournament = Miyagi TV Cup Dunlop Ladies Open
What was the winning score of the Vernal Ladies tournament?,SELECT Winning score FROM table WHERE Tournament = Vernal Ladies
Name the athlete for 3,SELECT Athlete FROM table WHERE Place = 3
Name the least total for 1500m for 2,SELECT MIN Total FROM table WHERE 1500 m = 2
Name the max javelin for 200m for 5,SELECT MAX Javelin FROM table WHERE 200 m = 5
Name the number of long jump for 1500m being 2,SELECT COUNT Long jump FROM table WHERE 1500 m = 2
Name the result for round 13,SELECT Result FROM table WHERE Round = 13
Name the attendance for loss result and salford city reds,SELECT Attendance FROM table WHERE Result = Loss AND Opponent = Salford City Reds
Name the total number of date for round 26,SELECT COUNT Date FROM table WHERE Round = 26
Name the attendace for 23 round,SELECT Attendance FROM table WHERE Round = 23
Name the total number of opponets for  05/09/2009,SELECT COUNT Opponent FROM table WHERE Date = 05/09/2009
What is the only city name with a population density of 200?,SELECT Name FROM table WHERE Population density = 200
What is the census division for the name Stratford?,SELECT Census division FROM table WHERE Name = Stratford
What is the change (%) when the area size (km2) is 247.21?,SELECT Change (%) FROM table WHERE Area (km²) = 247.21
What is the municipal status where the population density is 895.5?,SELECT Municipal status FROM table WHERE Population density = 895.5
What is the census division for the city named Kenora?,SELECT Census division FROM table WHERE Name = Kenora
"If there are 18 villages, what is the minimum area ?",SELECT MIN Area ( ha ) FROM table WHERE No. of villages = 18
"With the population in 2005 of 572, what is the former name?",SELECT Former Name FROM table WHERE Population (2005) = 572
How many villages have a density persons/ha of 5.5?,SELECT COUNT No. of villages FROM table WHERE Density persons / ha = 5.5
What were the scores for matches with irving wright hazel hotchkiss wightman?,SELECT Score FROM table WHERE Opponents = Irving Wright Hazel Hotchkiss Wightman
"How many years had scores of 10–12, 6–1, 6–3?","SELECT COUNT Year FROM table WHERE Score = 10–12, 6–1, 6–3"
Who were the partners during times that harry johnson hazel hotchkiss wightman was the opponent?,SELECT Partner FROM table WHERE Opponents = Harry Johnson Hazel Hotchkiss Wightman
What were the outcomes of matches with bill tilden florence ballin as opponents?,SELECT Outcome FROM table WHERE Opponents = Bill Tilden Florence Ballin
What is the earliest year?,SELECT MIN Year FROM table
What was the survivor count for the episode directed by Gwyneth Horder-Payton?,SELECT Survivor count FROM table WHERE Directed by = Gwyneth Horder-Payton
When did series number 65 originally air?,SELECT Original air date FROM table WHERE No. in series = 65
What is the production code of the episode directed by David Solomon? ,SELECT Production code FROM table WHERE Directed by = David Solomon
Who wrote the episode with the production code of BN103? ,SELECT Written by FROM table WHERE Production code = BN103
What was the original air date of the episode that had 4.08 million U.S. viewers? ,SELECT Original air date FROM table WHERE U.S. viewers (millions) = 4.08
List all the locations where net capacity is 950?,SELECT Location Chernobyl 1 Chernobyl 2 Chernobyl 3 Chernobyl 4 Chernobyl 5 Ignalina 1 Ignalina 2 Ignalina 3 Kursk 1 Kursk 2 Kursk 3 Kursk 4 Kursk 5 Kursk 6 Leningrad 1 Leningrad 2 Leningrad 3 Leningrad 4 Smolensk 1 Smolensk 2 Smolensk 3 Smolensk 4 Directorate for Construction of Kostoma NPP (For Kostroma 1 and 2) Table 31. Technology and Soviet Energy Availability - November 1981 - NTIS order #PB82-133455 (For Ignalina 4) FROM table WHERE Net Capacity (MW) = 950
List all the locations with a RBMK-1000 reactor.,SELECT Location Chernobyl 1 Chernobyl 2 Chernobyl 3 Chernobyl 4 Chernobyl 5 Ignalina 1 Ignalina 2 Ignalina 3 Kursk 1 Kursk 2 Kursk 3 Kursk 4 Kursk 5 Kursk 6 Leningrad 1 Leningrad 2 Leningrad 3 Leningrad 4 Smolensk 1 Smolensk 2 Smolensk 3 Smolensk 4 Directorate for Construction of Kostoma NPP (For Kostroma 1 and 2) Table 31. Technology and Soviet Energy Availability - November 1981 - NTIS order #PB82-133455 (For Ignalina 4) FROM table WHERE Reactor type = RBMK-1000
What is the gross capacity where the net capacity is 1380?,SELECT MIN Gross Capacity (MW) FROM table WHERE Net Capacity (MW) = 1380
when was the premiere when a 3.3 millions of North American watched the episode whose writer was Rob Wright?,SELECT Original air date FROM table WHERE U.S. viewers (millions) = 3.3 AND Written by = Rob Wright
what is the name of the episode which the production code is 62015-08-162,SELECT Title FROM table WHERE Production code = 62015-08-162
"in the number of episode in season is 11, who was the writer?",SELECT Written by FROM table WHERE No. in season = 11
"What is the production code for the episode title ""A Wrong Day's Journey into Right""?","SELECT Production code FROM table WHERE Title = ""A Wrong Day's Journey into Right"""
How many episodes had the us viewers (millions) figure of 5.0?,SELECT COUNT No. in season FROM table WHERE US viewers (millions) = 5.0
Who are the writers for the episode number in series 129?,SELECT Written by FROM table WHERE No. in series = 129
"What is the us viewers (millions) figure for the episode titled ""Witch Wars""?","SELECT US viewers (millions) FROM table WHERE Title = ""Witch Wars"""
What is the latest episode in the season directed by Chris Long?,SELECT MAX No. in season FROM table WHERE Directed by = Chris Long
Who wrote the episodes directed by David Straiton?,SELECT Written by FROM table WHERE Directed by = David Straiton
Who directed the episode with a production code greater than 4301103.585233785 that was written by Curtis Kheel?,SELECT Directed by FROM table WHERE Production code > 4301103.585233785 AND Written by = Curtis Kheel
How many results were there on 19/06/2009?,SELECT COUNT Result FROM table WHERE Date = 19/06/2009
What is the round number for the date 19/06/2009?,SELECT Round FROM table WHERE Date = 19/06/2009
What is the round number for the venue of Stade de la Méditerranée?,SELECT Round FROM table WHERE Venue = Stade de la Méditerranée
What was the score when the date was 17/07/2009?,SELECT Score FROM table WHERE Date = 17/07/2009
What is Marc Parenteau's position? ,SELECT Position FROM table WHERE Player = Marc Parenteau
What is the smallest pick number for McGill?,SELECT MIN Pick # FROM table WHERE College = McGill
Derik Fury plays for which college? ,SELECT College FROM table WHERE Player = Derik Fury
David Kasouf plays for how many colleges? ,SELECT COUNT College FROM table WHERE Player = David Kasouf
What position was drafted by the Hamilton Tiger-Cats? ,SELECT Position FROM table WHERE CFL Team = Hamilton Tiger-Cats
Who won when Jamie Green had the best lap?,SELECT Winning driver FROM table WHERE Fastest lap = Jamie Green
Who had the fasted lap in motorsport arena oschersleben?,SELECT Fastest lap FROM table WHERE Circuit = Motorsport Arena Oschersleben
When did Oliver Jarvis have pole position?,SELECT Date FROM table WHERE Pole position = Oliver Jarvis
What college did the player for the Hamilton Tiger-Cats go to? ,SELECT College FROM table WHERE CFL Team = Hamilton Tiger-Cats
How many players are at the DT position? ,SELECT COUNT Player FROM table WHERE Position = DT
What team does the player who went to Nebraska play for? ,SELECT CFL Team FROM table WHERE College = Nebraska
What is the highest number any of the players were picked at? ,SELECT MAX Pick # FROM table
Which player plays for the Winnipeg Blue Bombers? ,SELECT Player FROM table WHERE CFL Team = Winnipeg Blue Bombers
What is the pick # for player wes lysack?,SELECT Pick # FROM table WHERE Player = Wes Lysack
How many clf teams have a pick # of 5?,SELECT COUNT CFL Team FROM table WHERE Pick # = 5
How many total positions are there for utah college?,SELECT COUNT Position FROM table WHERE College = Utah
Which cfl team is manitoba college?,SELECT CFL Team FROM table WHERE College = Manitoba
Which position is cfl team edmonton eskimos for weber state college?,SELECT Position FROM table WHERE CFL Team = Edmonton Eskimos AND College = Weber State
What is the pick # for player wes lysack?,SELECT MAX Pick # FROM table WHERE Player = Wes Lysack
"When ""i feel good"" is the title and joe sachs is the writer how many series numbers are there?","SELECT COUNT Series # FROM table WHERE Written by = Joe Sachs AND Title = ""I Feel Good"""
How many stages of the rally took 14:33.9 for the leader to finish?,SELECT COUNT Length FROM table WHERE Time = 14:33.9
In which special stage named Tempo 2 was Sébastien Loeb the leader?,SELECT Stage FROM table WHERE Rally leader = Sébastien Loeb AND Name = Tempo 2
Which ralliers won the stages that were at 18:54 GMT?,SELECT Winner FROM table WHERE Time (GMT) = 18:54
"What is episode is ""Bouncy Ball""?","SELECT MIN Total episodes FROM table WHERE Title = ""Bouncy Ball"""
How many locations have #12 Michigan State as the big ten team?,SELECT COUNT Location FROM table WHERE Big Ten Team = #12 Michigan State
Who is the winner when bigten (2-1) is the challenge leader?,SELECT Winner FROM table WHERE Challenge Leader = BigTen (2-1)
"Who is the winner in the location of ljvm coliseum • winston-salem, nc?","SELECT Winner FROM table WHERE Location = LJVM Coliseum • Winston-Salem, NC"
What time was the acc team #17 wake forest?,SELECT Time FROM table WHERE ACC Team = #17 Wake Forest
Which location has a time of 9:30pm?,SELECT Location FROM table WHERE Time = 9:30PM
How many dates have a big ten team of #10 purdue?,SELECT COUNT Date FROM table WHERE Big Ten Team = #10 Purdue
Name the hometown for barahona,"SELECT Hometown FROM table WHERE Province, Community = Barahona"
Name the contestant for villa hermosa,SELECT Contestant FROM table WHERE Hometown = Villa Hermosa
Name the least age for cibao central and santo domingo,SELECT MIN Age FROM table WHERE Geographical Regions = Cibao Central AND Hometown = Santo Domingo
How many different results of the population count in 2001 are there for the census division whose population in 1996 is 880859?,SELECT COUNT Pop. (2001) FROM table WHERE Pop. (1996) = 880859
How many people lived in the census division with an area of 15767.99 km2 in 1996?,SELECT Pop. (1996) FROM table WHERE Area (km²) = 15767.99
What is the largest population count in any of the census divisions in 2006?,SELECT MAX Pop. (2006) FROM table
How many people lived in the census division spread out on 9909.31 km2 in 1996?,SELECT Pop. (1996) FROM table WHERE Area (km²) = 9909.31
"When did ""Granny Pig's Chickens"" first air?","SELECT Original UK airdate FROM table WHERE Title = ""Granny Pig's Chickens"""
"How many have the name, ""The Fire Engine""?","SELECT COUNT Total episodes FROM table WHERE Title = ""The Fire Engine"""
What is the result of the qf round?,SELECT Result FROM table WHERE Round = QF
Which venue has bradford bulls as the opponent on the date of 06/09/2009?,SELECT Venue FROM table WHERE Opponent = Bradford Bulls AND Date = 06/09/2009
Who is the opponent when the attendance is n/a?,SELECT Opponent FROM table WHERE Attendance = N/A
What is the venue that has 34-18 as the score?,SELECT Venue FROM table WHERE Score = 34-18
"How many results have 14,381 as the attendance?","SELECT COUNT Result FROM table WHERE Attendance = 14,381"
"How many rounds have 6,150 as attendance?","SELECT Round FROM table WHERE Attendance = 6,150"
"What is the episode number for ""case two (part 1)""?","SELECT Episode FROM table WHERE Title = ""Case Two (Part 1)"""
What is the original air date for the episode viewed by 7.12 million?,SELECT Originalairdate FROM table WHERE Viewing Figures (millions) Sourced by BARB ; includes ITV1 HD and ITV1 +1 = 7.12
Who directed the episode viewed by 7.35 million?,SELECT Directed by FROM table WHERE Viewing Figures (millions) Sourced by BARB ; includes ITV1 HD and ITV1 +1 = 7.35
How many opponents did they play on 17/05/2009?,SELECT COUNT Opponent FROM table WHERE Date = 17/05/2009
What was the score of round 3?,SELECT Score FROM table WHERE Round = 3
Name the artist for 7 points,SELECT COUNT Artist FROM table WHERE Televote Points = 7
Name the number of artists for panel points being 5,SELECT COUNT Artist FROM table WHERE Panel Points = 5
Name the total number of televote points for cry on my shoulders,SELECT COUNT Televote Points FROM table WHERE Song = Cry on my shoulders
Name the score for rebeka dremelj,SELECT Score FROM table WHERE Artist = Rebeka Dremelj
Name the artist for 1595 televotes,SELECT Artist FROM table WHERE Televotes = 1595
What was the result of the match on grass in 1955?,SELECT Outcome FROM table WHERE Surface = Grass AND Year = 1955
What was the result of the Australian Championships?,SELECT Outcome FROM table WHERE Championship = Australian Championships
What is the number of external links with a coach named Katie Kansas?,SELECT COUNT External Link FROM table WHERE Coach = Katie Kansas
What is the minimum number of seasons?,SELECT MIN Season FROM table
What is the episode summary for episode 5?,SELECT Episode Summary FROM table WHERE Episode = 5
What is the summary for the episode with a coach named Rebecca Star?,SELECT Episode Summary FROM table WHERE Coach = Rebecca Star
Name the episode with maritza reveron,SELECT Episode FROM table WHERE Coach = Maritza Reveron
"Name the season for august 16, 2010","SELECT Season FROM table WHERE Premier date = August 16, 2010"
Name the number of episode summary for jesse csincsak,SELECT COUNT Episode Summary FROM table WHERE Coach = Jesse Csincsak
Name the number of coach for full episode  deshunae is made into a volleyball player.,SELECT COUNT Coach FROM table WHERE External Link = Full Episode AND Episode Summary = Deshunae is made into a volleyball player.
"Name the coach for may 20, 2010","SELECT Coach FROM table WHERE Premier date = May 20, 2010"
Name the team for june 20,SELECT Team FROM table WHERE Date = June 20
Name the race time for 2002,SELECT Race Time FROM table WHERE Year = 2002
"How many seasons have a premier date of January 6, 2005? ","SELECT COUNT Season FROM table WHERE Premier date = January 6, 2005"
What is the last season? ,SELECT MAX Season FROM table
"What date did the episode, with John O'Connell as the coach, premier? ",SELECT Premier date FROM table WHERE Coach = John O'Connell
Name the result for total attendance-regular season,SELECT Result/Games FROM table WHERE Type of Record = Total Attendance-Regular season
Name the result/games for 52521,SELECT Result/Games FROM table WHERE Attendance = 52521
Name the result/games for 54530,SELECT Result/Games FROM table WHERE Attendance = 54530
Name the stadium for regular season game,SELECT Stadium FROM table WHERE Type of Record = Regular season game
Name the result/games for 54741,SELECT Result/Games FROM table WHERE Attendance = 54741
state team #2 in the match of first leg score 0-1,SELECT Team #2 FROM table WHERE 1st leg = 0-1
give the 1st leg score against ilisiakos,SELECT 1st leg FROM table WHERE Team #2 = Ilisiakos
which team #1 played again chalkida,SELECT Team #1 FROM table WHERE Team #2 = Chalkida
which team#2 played against poseidon neoi porroi,SELECT Team #2 FROM table WHERE Team #1 = Poseidon Neoi Porroi
When was the pre-season game record achieved?,SELECT Date/Year FROM table WHERE Type of Record = Pre-season game
What is the maximal number of people that attended any of these games?,SELECT MAX Attendance FROM table
what is the attendance in 2011 records,SELECT Attendance FROM table WHERE Date/Year = 2011
"what type of record was made where result/games is 10 games (29,606 avg.)","SELECT Type of Record FROM table WHERE Result/Games = 10 games (29,606 avg.)"
where was the total attendance-regular season record made,SELECT Stadium FROM table WHERE Type of Record = Total Attendance-Regular season
where was sun 09/12/93 record made,SELECT Stadium FROM table WHERE Date/Year = Sun 09/12/93
"how many records had result/games: 10 games (29,606 avg.)","SELECT COUNT Type of Record FROM table WHERE Result/Games = 10 games (29,606 avg.)"
what is the highest attendance for a total attendance-regular season record,SELECT MAX Attendance FROM table WHERE Type of Record = Total Attendance-Regular season
When 2005 is the date/year how many measurements of attendance are there?,SELECT COUNT Attendance FROM table WHERE Date/Year = 2005
When 27585 is the attendance what are the results of the games?,SELECT Result/Games FROM table WHERE Attendance = 27585
"When  9 games (28,002 avg.) is the results of the games what is the date/year?","SELECT Date/Year FROM table WHERE Result/Games = 9 games (28,002 avg.)"
When 255627 is the attendance what is the stadium?,SELECT Stadium FROM table WHERE Attendance = 255627
What record was set on Tue 11/02/75?,SELECT Type of Record FROM table WHERE Date/Year = Tue 11/02/75
"What record was set when the result/game was equal to 9 games (28,595 avg.)","SELECT Type of Record FROM table WHERE Result/Games = 9 games (28,595 avg.)"
What record was set when the result/game was montreal 20 @ ottawa 10?,SELECT Type of Record FROM table WHERE Result/Games = Montreal 20 @ Ottawa 10
Which stadium had the result/game montreal 20 @ ottawa 10?,SELECT Stadium FROM table WHERE Result/Games = Montreal 20 @ Ottawa 10
For what year is the type of record 'total attendance-regular season?,SELECT Date/Year FROM table WHERE Type of Record = Total Attendance-Regular season
What type of record is the result of the game Montreal 31 @ Calgary 32?,SELECT Type of Record FROM table WHERE Result/Games = Montreal 31 @ Calgary 32
On what date/s has attendance been 45010?,SELECT Date/Year FROM table WHERE Attendance = 45010
What is the number of attendance with the pre-season game as the type of record?,SELECT COUNT Attendance FROM table WHERE Type of Record = Pre-season game
"Which type of record has result/games of 9 games (57,144 avg.)","SELECT Type of Record FROM table WHERE Result/Games = 9 games (57,144 avg.)"
What is the result/games of Sun 11/28/10 as the date/year?,SELECT Result/Games FROM table WHERE Date/Year = Sun 11/28/10
Which stadium has the date/year of Fri 06/25/82?,SELECT Stadium FROM table WHERE Date/Year = Fri 06/25/82
Which type of record has result/games of b.c. 16 @ edmonton 22?,SELECT Type of Record FROM table WHERE Result/Games = B.C. 16 @ Edmonton 22
What was the populati in 2000 for Panlicsian? ,SELECT MIN Population (2000) FROM table WHERE Barangay = Panlicsian
What was the population in 2010 for Minane,SELECT MAX Population (2010) FROM table WHERE Barangay = Minane
What is the 2007 population for Corazon de Jesus? ,SELECT Population (2007) FROM table WHERE Barangay = Corazon De Jesus
What is the 2010 population when the 2000 population is 5720? ,SELECT MAX Population (2010) FROM table WHERE Population (2000) = 5720
Name the romaji by your side ~hikari's theme~ (popup.version),SELECT Rōmaji FROM table WHERE Japanese translation = By Your Side ~Hikari's Theme~ (PopUp.Version)
Name the vocalist for kaze no messēji (pokapoka-version),SELECT Vocalist FROM table WHERE Rōmaji = Kaze no Messēji (PokaPoka-Version)
Name the least number for  君のそばで～ヒカリのテーマ～(popup.version),SELECT MIN # FROM table WHERE Japanese title = 君のそばで～ヒカリのテーマ～(PopUp.Version)
Name the number of vocalists for  which one ~ is it?,SELECT COUNT Vocalist FROM table WHERE Japanese translation = Which One ~ Is It?
Name the to par for 20 feb 2005,SELECT To par FROM table WHERE Date = 20 Feb 2005
